property_name,,house_number,street_name,borough
814 WESTCHESTER AVE,2026760049,814,WESTCHESTER,
104-38 164 Street,,104-38,164 Street,
105-13 177 Street,,105-13,177 Street,
105-15 177 Street,,105-15,177 Street,
106-30 156 Street,,106-30,156 Street,
106-32 156 Street,,106-32,156 Street,
106-36 156 Street,,106-36,156 Street,
106-33 156 Street,,106-33,156 Street,
106-33 Guy R Brewer Blvd (Mortgage),,106-33,Guy R Brewer Blvd,
106-41 Guy R Brewer Blvd,,106-41,Guy R Brewer Blvd,
107-06 Sutphin Blvd,,107-06,Sutphin Blvd,
107-09 Guy R Brewer Blvd,,107-09,Guy R Brewer Blvd,
107-11 Guy R Brewer Blvd,,107-11,Guy R Brewer Blvd,
107-19 Guy R Brewer Blvd,,107-19,Guy R Brewer Blvd,
107-21 Guy R Brewer Blvd,,107-21,Guy R Brewer Blvd,
107-29 Guy R Brewer Blvd,,107-29,Guy R Brewer Blvd,
107-23 Guy R Brewer Blvd,,107-23,Guy R Brewer Blvd,
107-27 Guy R Brewer Blvd,,107-27,Guy R Brewer Blvd,
107-35 Sutphin Blvd,,107-35,Sutphin Blvd,
107-45 Sutphin Blvd,,107-45,Sutphin Blvd,
107-17 Merrick Blvd,,107-17,Merrick Blvd,
107-46 156 Street,,107-46,156 Street,
108-16 167 Street,,108-16,167 Street,
108-01 Merrick Blvd,,108-01,Merrick Blvd,
109-43 Guy R Brewer Blvd,,109-43,Guy R Brewer Blvd,
109-06 Guy R Brewer Blvd,,109-06,Guy R Brewer Blvd,
109-08 Guy R Brewer Blvd,,109-08,Guy R Brewer Blvd,
109-12 Guy R Brewer Blvd,,109-12,Guy R Brewer Blvd,
109-44 Guy R Brewer Blvd,,109-44,Guy R Brewer Blvd,
109-45 Guy R Brewer Blvd,,109-45,Guy R Brewer Blvd,
111-51 178 Street,,111-51,178 Street,
111-43 178 Street,,111-43,178 Street,
111-75/77 157 Street,,111-75,157 Street,
112-12 205 Street,,112-12,205 Street,
114-69 Farmers Blvd,,114-69,Farmers Blvd,
115-27 Bedell Street,,115-27,Bedell Street,
115-29 Bedell Street,,115-29,Bedell Street,
115-30 175 Street,,115-30,175 Street,
115-46 Sutphin Blvd,,115-46,Sutphin Blvd,
116-04 Merrick Blvd,,116-04,Merrick Blvd,
116-14 168 Street,,116-14,168 Street,
116-06 Merrick Blvd,,116-06,Merrick Blvd,
116-19 146 Street,,116-19,146 Street,
118-34 154 Street,,118-34,154 Street,
118-44 Marsden Street,,118-44,Marsden Street,
119-28 Merrick Blvd,,119-28,Merrick Blvd,
119-32 Merrick Blvd,,119-32,Merrick Blvd,
119-37 Farmers Blvd,,119-37,Farmers Blvd,
119-41 Farmers Blvd,,119-41,Farmers Blvd,
119-08 179 Street,,119-08,179 Street,
120-14 Merrill Street,,120-14,Merrill Street,
120-35 147 Street (Mortgage),,120-35,147 Street,
121-05 Sutphin Blvd (Mortgage),,121-05,Sutphin Blvd,
126-35 148 Street,,126-35,148 Street,
126-40 146 Street,,126-40,146 Street,
126-42 146 Street,,126-42,146 Street,
131-25 Rockaway Blvd,,131-25,Rockaway Blvd,
132-44 Bennett Court,,132-44,Bennett Court,
