score,flags,address,borough,zip,units,year_built,bldg_class,owner,per_door,market_value,value_basis,assessed_value_est,last_sale_price,last_sale_date,under_70k_door,low_rate_mtge_date,low_rate_mtge_amt,est_maturity_10yr,months_to_maturity,maturing_soon,lender,bbl,acris_mortgage_url,acris_parcel_url,pluto_url,lat,lon
85.9,maturing soon (est.),2957 BAINBRIDGE AVENUE,Bronx,10458,23,1902,C5,2955-57 BAINBRIDGE AVE REALTY CORP,20217,465000,assessed/0.45,465000,,,True,2017-02-10,1012785.45,2027-02-10,7,True,NEW YORK COMMUNITY BANK,2032980045,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2017022101233001,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3298&lot=45,https://zola.planning.nyc.gov/l/lot/2/3298/45,40.8709933,-73.8848608
82.6,maturing soon (est.); satisfaction recorded since,3195 DECATUR AVENUE,Bronx,10467,47,1927,C1,3195 DECATUR LLC,25340,1191000,assessed/0.45,1191000,,,True,2017-02-15,168097.4,2027-02-15,7,True,THE FIRST NATIONAL BANK OF LONG ISLAND,2033500040,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2017022200801001,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3350&lot=40,https://zola.planning.nyc.gov/l/lot/2/3350/40,40.8738687,-73.8758740
82.0,maturing soon (est.),1155 EVERGREEN AVENUE,Bronx,10472,39,1930,C1,EVERGREEN ESTATES HOUSING DEVELOPMENT FU ND COMPANY,26308,1026000,assessed/0.45,1026000,,,True,2016-12-08,13694000.0,2026-12-08,5,True,BERKELEY POINT CAPITAL LLC,2037370058,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2016121400584001,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3737&lot=58,https://zola.planning.nyc.gov/l/lot/2/3737/58,40.8271839,-73.8810450
81.6,maturing soon (est.),1175 EVERGREEN AVENUE,Bronx,10472,39,1930,C1,EVERGREEN ESTATES HOUSING DEVELOPMENT FU ND COMPANY,26949,1051000,assessed/0.45,1051000,,,True,2016-12-08,13694000.0,2026-12-08,5,True,BERKELEY POINT CAPITAL LLC,2037370049,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2016121400584001,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3737&lot=49,https://zola.planning.nyc.gov/l/lot/2/3737/49,40.8277934,-73.8811849
81.3,maturing soon (est.); satisfaction recorded since,1314 GRAND CONCOURSE,Bronx,10456,39,1923,C1,1314 GRAND CONCOURSE REALTY CORP.,27385,1068000,assessed/0.45,1068000,,,True,2016-12-14,2000000.0,2026-12-14,5,True,DIME COMMUNITY BANK,2028310009,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2016122100746001,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=2831&lot=9,https://zola.planning.nyc.gov/l/lot/2/2831/9,40.8368725,-73.9147885
81.1,maturing soon (est.),50 EAST 196 STREET,Bronx,10468,43,1931,D1,50 EAST 196 ST LLC,27605,1187000,assessed/0.45,1187000,,,True,2017-02-23,892941.69,2027-02-23,7,True,SIGNATURE BANK,2033160030,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2017030100935001,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3316&lot=30,https://zola.planning.nyc.gov/l/lot/2/3316/30,40.8684778,-73.8949346
81.0,maturing soon (est.),1234 STRATFORD AVENUE,Bronx,10472,38,1928,C1,1234 STRATFORD LLC,27868,1059000,assessed/0.45,1059000,,,True,2017-02-23,969803.97,2027-02-23,7,True,SIGNATURE BANK,2037770015,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2017030100935007,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3777&lot=15,https://zola.planning.nyc.gov/l/lot/2/3777/15,40.8302054,-73.8754423
77.2,maturing soon (est.),2704 UNIVERSITY AVENUE,Bronx,10468,38,1926,C1,2704 UNIVERSITY AVE CORP,31947,1214000,assessed/0.45,1214000,,,True,2017-03-30,1682574.37,2027-03-30,8,True,NEW YORK COMMUNITY BANK,2032480014,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2017040500281001,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3248&lot=14,https://zola.planning.nyc.gov/l/lot/2/3248/14,40.8689025,-73.9002235
77.0,maturing soon (est.); satisfaction recorded since,831 HOME STREET,Bronx,10459,20,1910,C1,831 HOME STREET LLC,28850,577000,assessed/0.45,577000,,,True,2017-05-24,7200000.0,2027-05-24,10,True,SANTANDER BANK N.A.,2026810032,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2017060500599006,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=2681&lot=32,https://zola.planning.nyc.gov/l/lot/2/2681/32,40.8281066,-73.8987815
76.9,maturing soon (est.),119 EAST 100 STREET,Manhattan,10029,20,1910,C1,LOTT LEGACY APARTMENTS HOUSING DEVELOPME NT FUND,27300,546000,assessed/0.45,546000,,,True,2017-06-29,265589.0,2027-06-29,11,True,NEW YORK CITY HOUSING DEVELOPMENT CORPORATION,1016280010,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2017071200481030,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=1&block=1628&lot=10,https://zola.planning.nyc.gov/l/lot/1/1628/10,40.7888685,-73.9495217
